C店代码,开店时间,,当月B店铺天数,当月有消保天数,当月有旺铺天数,当月有淘客天数,当月有P4P天数,当月在线商品数之和,当月有记录天数,J/K近似平均商品,当月最后一天店铺状态,主营类目ID,主营类目名称,当月最后一天在线商品数,省份ID,省份名称,城市ID,城市名称,区县ID,区县名称,行政辖区ID,行政辖区,城市等级,ipv_pv,Ln(pv),ipv_uv,Ln(uv),sales,Ln(交易额),笔数,Ln(笔数),买家数,全部网店人员,合并-主营,主营店人员,共用人员,主营店营业额,主营店人员数,店主/合伙人人数,雇佣员工人数,帮工人数,店主/合伙人_工作时间,雇佣员工工作时长,帮工工作时长,平均月工资,开店之前的工作,其他,职业状态,职业状态_其他,是否最主要收入来源,性别,婚姻状况,年龄,学历,最常所在地,户口,旺旺uid,旺旺子账号数量,当月有登陆旺旺子账号数量,卖家星级ID,卖家星级名称
c06118,39848,,0,30,0,0,0,5631,30,187.7,0,50020485,五金/工具,187,330000,浙江省,330700,金华市,330784,永康市,100900,永康市,5,352,5.863631176,256,5.545177444,387,5.958424693,6,1.791759469,5,2,1,1,1,100,,1,,1,2,2,2,,个体户,,个体户,,不是主要收入来源,女,已婚,26-30岁,大专,省会城市市区,农业户口,67023851,2,0,6,1钻
c06119,40031,20,0,30,30,0,0,1419,30,47.3,0,50006842,箱包皮具/热销女包/男包,53,510000,四川省,510100,成都市,510105,青羊区,100282,成都市区,2,312,5.743003188,212,5.356586275,6060,8.709465079,6,1.791759469,3,,3,,,,3,2,,1,18,,7,,受雇于企业,,受雇于企业（包括个体户）,,不是主要收入来源,女,已婚,31-35岁,硕士研究生或以上,省会城市市区,非农业户口,26857581,1,\N,2,2星级
c06120,40096,,0,30,25,30,30,6483,30,216.1,0,50016422,粮油米面/南北干货/调味品,209,140000,山西省,140400,长治市,140482,城区,102262,长治市区,4,777,6.65544035,555,6.318968114,283.66,5.647776338,6,1.791759469,5,3,1,1,2,70,,1,1,2,86,8,5,1200,退休,,只经营网店，没有其他工作,,是主要收入来源,女,已婚,41-50岁,高中/中专/职高,地级市/县级市市区,非农业户口,139349900,3,0,9,4钻
c06121,40029,20,0,30,30,30,30,1542,30,51.4,0,16,女装/女士精品,52,440000,广东省,440100,广州市,440111,白云区,100550,广州市区,1,29395,10.28857987,21297,9.966321497,26977.02,10.20274067,867,6.765038977,712,3,2,2,1,100,,2,,3,18,,24,,受雇于企业（包括个体户）,,只经营网店，没有其他工作,,是唯一收入来源,男,未婚,26-30岁,大专,直辖市市区,非农业户口,94615815,2,1,10,5钻
c06122,41407,,0,30,0,0,0,6967,30,232.2333333,0,50004958,移动/联通/电信充值中心,472,620000,甘肃省,620900,酒泉市,620982,敦煌市,100952,敦煌市,5,49,3.891820298,21,3.044522438,836.69,6.729453632,10,2.302585093,8,,1,,,,1,1,,,70,,,,受雇于企业（包括个体户）,,只经营网店，没有其他工作,,是唯一收入来源,女,未婚,23-25岁,大专,地级市/县级市市区,非农业户口,175270535,\N,0,2,2星级
c06123,41344,,0,30,30,0,0,990,30,33,0,50004958,移动/联通/电信充值中心,33,350000,福建省,350900,宁德市,350902,蕉城区,101317,宁德市区,4,28,3.33220451,12,2.48490665,925.2,6.83000993,13,2.564949357,12,,1,,,,1,1,,,,,,,全职主妇,,个体户,,不是主要收入来源,女,已婚,31-35岁,大专,地级市/县级市市区,农转非户口,354944468,\N,0,2,2星级
c06124,40066,,0,0,30,0,0,2054,30,68.46666667,0,50020485,五金/工具,80,440000,广东省,441900,东莞市,441900,东莞市,100426,东莞市区,2,240,5.480638923,155,5.043425117,594,6.386879319,1,0,1,,4,,,,4,1,3,,55,55,,,受雇于企业,,受雇于企业（包括个体户）,,不是主要收入来源,男,已婚,26-30岁,大专,地级市/县级市市区,农业户口,60311103,\N,0,2,2星级
c06125,40609,,0,30,0,0,0,2318,30,77.26666667,0,50004958,移动/联通/电信充值中心,77,210000,辽宁省,210600,丹东市,210681,东港市,100386,东港市,5,97,4.574710979,69,4.234106505,414.4,6.026831691,16,2.772588722,15,2,1,1,1,80,,1,,1,3,,3,,上学,,打理自己的实体店或工厂,,不是主要收入来源,男,已婚,26-30岁,大专,地级市/县级市市区,非农业户口,54391548,\N,0,4,4星级
c06126,41376,,0,30,0,25,0,1024,30,34.13333333,0,23,古董/邮币/字画/收藏,54,320000,江苏省,320200,无锡市,320282,宜兴市,101827,宜兴市,5,1861,7.528869257,866,6.763884909,1189.94,7.081658165,11,2.397895273,6,1,2,1,1,100,1,1,,,80,,,,受雇于企业,,只经营网店，没有其他工作,,是唯一收入来源,女,已婚,31-35岁,初中或以下,县城市区,非农业户口,1646468461,\N,0,3,3星级
c06127,40028,20,0,30,0,0,0,11966,30,398.8666667,0,16,女装/女士精品,349,340000,安徽省,340300,蚌埠市,340322,五河县,100134,五河县,6,1523,7.328437353,1155,7.051855623,4075.5,8.312748718,76,4.33073334,76,,2,,,,2,1,1,1,10,10,10,,受雇于企业,,个体户,,不是主要收入来源,女,已婚,31-35岁,大专,县城市区,农业户口,65669303,\N,0,7,2钻
c06128,39848,,0,30,17,30,0,4333,30,144.4333333,0,50008165,童装/童鞋/亲子装,142,310000,上海,310100,上海市,310112,闵行区,101554,上海市区,1,544,6.298949247,409,6.013715156,375.97,5.929509353,4,1.386294361,4,,1,,,,1,1,,,,,,,个体户,,打理自己的实体店或工厂,,不是主要收入来源,男,已婚,26-30岁,高中/中专/职高,直辖市市区,农业户口,36391430,1,0,8,3钻
c06129,39700,20,0,30,30,0,30,3802,30,126.7333333,0,50008090,3C数码配件,127,110000,北京,110100,北京市,110108,海淀区,100180,北京市区,1,2745,7.917536354,1233,7.117205503,57465,10.95893135,76,4.33073334,38,,2,,,,2,2,,,10,,,,个体户,,打理自己的实体店或工厂,,不是主要收入来源,女,已婚,31-35岁,大专,直辖市市区,非农业户口,129956278,\N,0,7,2钻
c06130,38527,,0,30,30,0,30,1830,30,61,0,50020857,特色手工艺,61,330000,浙江省,330700,金华市,330783,东阳市,100893,东阳市,5,1298,7.168579897,797,6.680854679,2053.6,7.62734963,5,1.609437912,5,,2,,,,2,1,1,,60,50,,3000,个体户,,受雇于企业（包括个体户）,,是主要收入来源,男,已婚,31-35岁,大专,郊区,非农业户口,14046446,3,0,7,2钻
c06131,40028,20,0,30,30,30,0,610,30,20.33333333,0,30,男装,22,350000,福建省,350500,泉州市,350581,石狮市,101476,石狮市,5,3024,8.014335737,2061,7.630946581,6266.04,8.742899855,197,5.283203729,146,,1,,,,1,1,,,56,,,,上学,,受雇于企业（包括个体户）,,是主要收入来源,男,未婚,23-25岁,大专,地级市/县级市市区,农业户口,265646832,\N,0,5,5星级
c06132,40398,,0,30,30,30,30,510,30,17,0,50008163,床上用品/布艺软饰,17,320000,江苏省,320600,南通市,320684,海门市,101285,海门市,5,751,6.621405652,355,5.872117789,7061,8.862341964,25,3.218875825,19,,2,,,,2,1,,1,84,,10,,在政府部门或事业单位工作,,只经营网店，没有其他工作,,是主要收入来源,女,已婚,31-35岁,大学本科,县城市区,非农业户口,69771656,\N,0,8,3钻
c06133,39917,,0,30,30,0,0,1493,30,49.76666667,0,50012082,厨房电器,64,440000,广东省,440300,深圳市,440307,龙岗区,101591,深圳市区,1,3210,8.074026216,1713,7.446001498,13578.74,9.516260613,136,4.912654886,124,,2,,,,2,1,,1,48,,20,,受雇于企业（包括个体户）,,受雇于企业（包括个体户）,,是主要收入来源,男,已婚,26-30岁,高中/中专/职高,直辖市市区,农业户口,209707650,1,0,7,2钻
