from,to,time
中经合,亚洲医药网,2000
中经合,乐友,2000
中经合,传述,2000
中经合,彩练信息,2000
中经合,youle.com,2000
中华开发资本,麦考林(麦网),2000
中国高新技术产业投资,巨龙科教,2000
中关村创业投资,益普四环,2000
中关村创业投资,学实创联,2000
中关村创业投资,新电创拓,2000
中关村创业投资,梦天游,2000
中关村创业投资,凯立电子,2000
中关村创业投资,精达铜材,2000
中关村创投,精达股份,2000
知金科技投资,中科软科技,2000
浙江省创业投资,西部金属,2000
招商科技,华环电子,2000
长实,国创科技,2000
长沙高新,山河智能,2000
张江高科,嘉事堂,2000
湛思投资,中国海油（中海油）,2000
运时投资,Beijing Numeral,2000
涌金投资,软控,2000
盈富泰克,中软金卡,2000
英特尔投资,速达软件,2000
英特尔投资,连宇通信,2000
英特尔投资,连宇通信,2000
英特尔投资,朗新,2000
英联,中国海油（中海油）,2000
壹普兰,百度,2000
伊藤忠,3721,2000
信中利,朗新,2000
新加坡政府投资,中国海油（中海油）,2000
新加坡政府投资,泰康人寿,2000
新加坡政府投资,速达软件,2000
新策略,中药通,2000
新策略,连宇通信,2000
新策略,连宇通信,2000
新策略,国创科技,2000
祥峰集团,国创科技,2000
湘投高创投,三一重工,2000
西安高新投,协同数码,2000
维众创投,脐血库,2000
葳尔资本,青岛金王（原金海工艺）,2000
同华投资,山东中轩,2000
同创伟业,达安基因,2000
天堂硅谷,创业软件,2000
松禾资本,荣信股份,2000
松禾资本,冠日通讯,2000
松禾资本,达实智能,2000
世纪方舟,中控,2000
世纪方舟,协同数码,2000
世纪方舟,数字方舟,2000
世纪方舟,三佳科技,2000
世纪方舟,青松科技,2000
世纪方舟,精达股份,2000
深圳高新投,科陆电子,2000
深圳高新投,冠日通讯,2000
深圳高新投,达实智能,2000
深圳高新投,奥维迅,2000
深圳创新投,三辰,2000
深圳创新投,朗新,2000
深圳创新投,科陆电子,2000
深圳创新投,巨龙科教,2000
深圳创新投,金证科技,2000
深圳创新投,达实智能,2000
深圳创新投,奥维迅,2000
上实投资,携程旅行网,2000
上实投资,携程旅行网,2000
上海永宣,重庆赛诺,2000
上海永宣,新锐互动,2000
上海永宣,思源电气,2000
上海永宣,榕树下,2000
上海永宣,路明,2000
上海永宣,联科纳米,2000
上海永宣,联环药业,2000
上海永宣,蓝津科技股份有限公司,2000
上海永宣,康缘药业,2000
上海永宣,九九科技,2000
上海永宣,华诺科技,2000
上海永宣,华海医信,2000
上海永宣,红旗软件,2000
上海永宣,贝特瑞,2000
上海信投,信息管线,2000
上海信投,信天通信,2000
上海信投,华腾,2000
上海信投,东方网,2000
上海科投,中科合臣,2000
上海创投,交技发展,2000
山东高新投,山大华天,2000
瑞富时代,华中数控,2000
软银中国,携程旅行网,2000
软银中国,携程旅行网,2000
软银中国,好孩子,2000
软银中国,当当网,2000
软银中国,传述,2000
软银中国,阿里巴巴,2000
清华创投,新疆新能源,2000
清华创投,清华源兴,2000
清华创投,清华万博,2000
清华创投,比威网络,2000
清华创投,奥维迅,2000
清华创投,艾克斯特,2000
启峰,易趣,2000
启峰,书城网路书店,2000
启迪创投,远卓管理顾问,2000
普讯创投,传述,2000
浦东创投,同仕网络,2000
摩根士丹利,恒安国际,2000
美国泰山投资,忠旺控股,2000
美国国际集团,国创科技,2000
洛克利集团,奥兰若（深圳）,2000
联想投资,卓越网,2000
联想投资,重庆网通信息港,2000
联和投资,中科合臣,2000
联和投资,新海宜,2000
力合清源创投,泰豪,2000
力合清源创投,深讯信科,2000
力合清源创投,清园纳米,2000
力合清源创投,力合亿品,2000
力合清源创投,和而泰,2000
力合清源创投,达实智能,2000
兰馨亚洲,易趣,2000
兰馨亚洲,携程旅行网,2000
兰馨亚洲,携程旅行网,2000
凯雷,亚商在线 (欧迪办公),2000
凯雷,携程旅行网,2000
凯雷,连宇通信,2000
开元创投,武汉健民,2000
经济发展局投资,掌中万维,2000
江苏苏高新,苏州君宁,2000
江苏省高投,康缘药业,2000
江苏省高投,河海纳米,2000
江苏省高投,春辉科技,2000
江苏高科投,东大通信,2000
汇亚,握奇系统,2000
华易,化工易贸网,2000
华平,亚洲医药网,2000
华平,亚商在线 (欧迪办公),2000
华平,茂林光电,2000
华平,麦考林(麦网),2000
华平,华腾,2000
华工创投,华中数控,2000
华尔投资,北邮电信,2000
花旗创投,弘成教育 (中华学习网),2000
红塔创投,贵研铂业,2000
红塔创投,登海种业,2000
红塔创投,达安基因,2000
红点投资,硅谷动力,2000
和记黄埔,和记奥普泰,2000
合肥高科投,广济药业,2000
哈尔滨科投,九洲电气,2000
国信证券,达安基因,2000
国际金融公司,新华保险,2000
广州科风投,万孚生物,2000
广州科风投,天普药业,2000
广州科风投,蓉胜超微,2000
广州科风投,广东鸿图,2000
广东风投,裕东实业,2000
广东风投,威尔科技,2000
广东风投,广东英锋,2000
广东风投,广东鸿图,2000
冠宸投资,三辰,2000
高盛,搜房网,2000
高盛,乐友,2000
高盛,朗新,2000
高盛,硅谷动力,2000
高盛,ChinaRen,2000
高德科创,科陆电子,2000
富达亚洲,阿里巴巴,2000
复星创富,科大讯飞,2000
东盛创投,达安基因,2000
东湖创投,天喻信息,2000
鼎晖创投,速达软件,2000
德丰杰,亿唐,2000
晨兴集团,携程旅行网,2000
晨兴创投,索易,2000
晨兴创投,健康网,2000
晨兴创投,第九城市,2000
晨兴创投,Lemon,2000
北京科技风投,灵图,2000
北京科技风投,风华兽药,2000
北京科技风投,北医眼视光学研究中心,2000
北京创投,长峰易成,2000
北京创投,星恒电源,2000
北京创投,通审软件,2000
北京创投,人大金仓,2000
北京创投,国信贝斯,2000
北京创投,国信贝斯,2000
北京创投,博奥生物,2000
鲍尔太平,中星微,2000
半岛投资,硅谷动力,2000
半岛投资,百度,2000
半岛投资,百度,2000
霸菱亚洲,掌中万维,2000
霸菱亚洲,亚洲医药网,2000
安徽科投,精达股份,2000
SRF,亿唐,2000
Seligman,亿唐,2000
Ringier AG,书城网路书店,2000
Rho,亿唐,2000
PSINet,朗新,2000
Pharos,亿唐,2000
